SITE_NAME,BEGIN,END,daysPeriod,KWH_PERIOD,kwhPerDay,PERIOD_EUR,nbInvoice
0001BB,2018-01-01,2018-01-31,30,2447,81.57,"316,46", 
0001BB,2018-02-01,2018-02-28,27,2211,81.89,"286,82", 
0001BB,2018-03-01,2018-03-31,30,2450,81.67,"317,32", 
0001BB,2018-04-01,2018-04-30,29,2431,83.83,"315,00", 
0001BB,2018-05-01,2018-05-31,30,2574,85.8,"333,37", 
0001BB,2018-06-01,2018-06-30,29,2830,97.59,"365,27", 
0001BB,2018-07-01,2018-07-31,30,3028,100.93,"390,39", 
0001BB,2018-08-01,2018-08-31,30,3053,101.77,"393,99", 
0001BB,2018-09-01,2018-09-30,29,2915,100.52,"378,35", 
0001BB,2018-10-01,2018-10-31,30,2986,99.53,"387,05", 
0001BB,2018-11-01,2018-11-30,29,2871,99.0,"372,47", 
0001BB,2018-12-01,2018-12-31,30,3086,102.87,"399,30", 
0001BB,2019-01-01,2019-01-31,30,3094,103.13,"381,40", 
0001BB,2019-02-01,2019-02-28,27,2767,102.48,"345,87", 
0001BB,2019-03-01,2019-03-31,30,3059,101.97,"378,18", 
0001BB,2019-04-01,2019-04-30,29,2761,95.21,"340,84", 
0001BB,2019-05-01,2019-05-31,30,2844,94.8,"349,26", 
0001BB,2019-06-01,2019-06-30,29,3009,103.76,"369,19", 
0001BB,2019-07-01,2019-07-31,30,3016,100.53,"371,20", 
0001BB,2019-08-01,2019-08-31,30,3089,102.97,"380,42", 
0001BB,2019-09-01,2019-09-30,29,2914,100.48,"361,36", 
0001BB,2019-10-01,2019-10-31,30,2963,98.77,"366,70", 
0001BB,2019-11-01,2019-11-30,29,2797,96.45,"345,89", 
0001BB,2019-12-01,2019-12-31,30,2859,95.3,"353,08", 
0001BB,2020-01-01,2020-01-31,30,2863,95.43,"414,93", 
0001BB,2020-02-01,2020-02-29,28,2663,95.11,"387,22", 
0001BB,2020-03-01,2020-03-31,30,2759,91.97,"403,25", 
0001BB,2020-04-01,2020-04-30,29,2680,92.41,"390,79", 
0001BB,2020-05-01,2020-05-31,30,2797,93.23,"407,48", 
0001BB,2020-06-01,2020-06-30,29,2796,96.41,"407,77", 
0001BB,2020-07-01,2020-07-31,30,2952,98.4,"429,09", 
0001BB,2020-08-01,2020-08-31,30,3014,100.47,"435,98", 
0001BB,2020-09-01,2020-09-30,29,2857,98.52,"411,97", 
0001BB,2020-10-01,2020-10-31,30,2905,96.83,"413,41", 
0001BB,2020-11-01,2020-11-30,29,2755,95.0,"383,02", 
0001BR,2018-01-01,2018-01-31,30,2438,81.27,"266,43", 
0001BR,2018-02-01,2018-02-28,27,2211,81.89,"242,33", 
0001BR,2018-03-01,2018-03-31,30,2453,81.77,"267,95", 
0001BR,2018-04-01,2018-04-30,29,2414,83.24,"263,78", 
0001BR,2018-05-01,2018-05-31,30,2517,83.9,"274,62", 
0001BR,2018-06-01,2018-06-30,29,2461,84.86,"268,63", 
0001BR,2018-07-01,2018-07-31,30,2560,85.33,"279,26", 
0001BR,2018-08-01,2018-08-31,30,2597,86.57,"283,07", 
0001BR,2018-09-01,2018-09-30,29,2436,84.0,"267,99", 
0001BR,2018-10-01,2018-10-31,30,2497,83.23,"274,50", 
0001BR,2018-11-01,2018-11-30,29,2397,82.66,"263,82", 
0001BR,2018-12-01,2018-12-31,30,2452,81.73,"269,69", 
0001BR,2019-01-01,2019-01-31,30,2460,82.0,"264,03", 
0001BR,2019-02-01,2019-02-28,27,2229,82.56,"239,96", 
0001BR,2019-03-01,2019-03-31,30,2475,82.5,"265,56", 
0001BR,2019-04-01,2019-04-30,29,2410,83.1,"258,76", 
0001BR,2019-05-01,2019-05-31,30,2508,83.6,"268,92", 
0001BR,2019-06-01,2019-06-30,29,2529,87.21,"270,94", 
0001BR,2019-07-01,2019-07-31,30,2593,86.43,"277,63", 
0001BR,2019-08-01,2019-08-31,30,2603,86.77,"278,60", 
0001BR,2019-09-01,2019-09-30,29,2595,89.48,"277,20", 
0001BR,2019-10-01,2019-10-31,30,2708,90.27,"288,79", 
0001BR,2019-11-01,2019-11-30,29,2595,89.48,"277,07", 
0001BR,2019-12-01,2019-12-31,30,2648,88.27,"282,57", 
0001BR,2020-01-01,2020-01-31,30,2600,86.67,"330,81", 
0001BR,2020-02-01,2020-02-29,28,2445,87.32,"311,57", 
0001BR,2020-03-01,2020-03-31,30,2609,86.97,"330,32", 
0001BR,2020-04-01,2020-04-30,29,2629,90.66,"332,70", 
0001BR,2020-05-01,2020-05-31,30,2735,91.17,"345,77", 
0001BR,2020-06-01,2020-06-30,29,2687,92.66,"339,78", 
0001BR,2020-07-01,2020-07-31,30,2854,95.13,"360,33", 
0001BR,2020-08-01,2020-08-31,30,2886,96.2,"364,21", 
0001BR,2020-09-01,2020-09-30,29,2761,95.21,"348,79", 
0001BR,2020-10-01,2020-10-31,30,2802,93.4,"353,90", 
0001BR,2020-11-01,2020-11-30,29,2677,92.31,"338,44", 
0001KO,2018-01-01,2018-01-31,30,2179,72.63,"268,53", 
0001KO,2018-02-01,2018-02-28,27,1971,73.0,"243,47", 
0001KO,2018-03-01,2018-03-31,30,2191,73.03,"269,98", 
0001KO,2018-04-01,2018-04-30,29,2370,81.72,"291,55", 
0001KO,2018-05-01,2018-05-31,30,2647,88.23,"324,92", 
0001KO,2018-06-01,2018-06-30,29,2634,90.83,"323,35", 
0001KO,2018-07-01,2018-07-31,30,2799,93.3,"343,43", 
